Generic Photo,"241,232,222,211,200,190,180,173,166,159,152,146,137,130,123,118,113,108,103,98,94,89,85,81,78,74,71,68,64,61,58,55,53,50,49,47"
Baryta Satin,"249,239,232,222,213,204,196,188,180,174,167,160,154,147,141,136,131,125,120,115,111,106,102,98,94,90,86,84,79,77,74,72,70,68,66,64"
Photo Rag Bright White,"249,239,229,222,213,206,198,192,184,178,173,166,160,155,149,144,140,134,130,126,122,117,113,110,106,102,99,96,93,90,87,85,83,81,79,77"
Photo Rag Duo,"247,239,232,222,215,209,200,194,188,182,174,169,162,157,151,146,141,136,131,126,122,117,112,109,104,101,97,95,91,88,86,84,82,80,78,76"
Photo Rag Satin,"244,236,229,222,213,206,200,194,186,180,173,167,160,155,149,144,140,134,130,125,121,117,113,111,106,102,99,96,93,89,87,84,82,79,77,75"
Agave,"247,236,229,220,211,202,196,188,182,174,167,160,154,149,143,138,134,129,125,120,115,111,109,105,102,99,96,94,92,89,87,85,84,82,81,78"
Albrecht Durer,"247,236,229,222,213,206,200,192,186,180,173,167,160,155,149,144,140,134,129,125,121,115,110,106,103,99,95,92,89,86,84,83,80,78,78,77"
Bamboo,"244,236,229,222,215,206,200,194,186,180,174,169,160,155,151,144,141,137,131,126,122,118,113,110,105,102,98,95,92,89,86,84,82,79,78,76"
Baryta FB,"241,232,222,215,209,200,194,186,178,173,167,160,154,149,144,138,133,127,123,118,115,109,105,102,98,94,90,87,84,81,78,75,73,70,68,66"
Fine Art Baryta,"247,236,227,220,211,204,196,188,182,176,169,164,157,152,147,141,137,131,126,121,116,112,108,103,99,95,90,87,84,80,78,75,72,70,68,66"
Fine Art Pearl,"249,239,232,224,215,209,200,192,186,180,174,167,160,155,149,143,140,136,129,125,122,116,112,108,104,99,96,93,89,86,83,81,78,76,74,71"
German Etching,"244,236,229,222,213,206,200,192,186,180,174,167,162,157,151,146,141,136,131,127,122,118,115,110,106,102,99,96,93,91,88,85,84,81,79,78"
Hemp,"247,239,229,220,211,202,196,188,180,173,167,160,154,147,143,137,134,129,123,118,115,111,108,104,101,98,95,92,90,88,86,84,83,81,80,78"
Museum Etching,"247,236,229,222,213,204,198,192,184,178,173,166,160,155,149,144,140,134,130,125,121,117,113,109,105,101,98,94,92,89,86,84,83,80,78,76"
Photo Rag Pearl,"247,239,229,222,215,206,198,192,184,178,171,166,159,154,147,141,137,131,126,121,117,112,108,103,99,96,92,89,84,83,80,78,74,73,71,68"
Photo Rag Ultra Smooth,"247,236,229,222,215,206,200,192,186,180,173,167,160,155,149,144,140,134,130,125,121,116,112,108,104,101,97,94,91,88,86,84,81,79,77,74"
Photo Rag Metallic,"202,196,188,180,173,166,160,154,146,140,136,129,123,118,112,108,104,99,95,90,86,83,79,76,73,70,67,65,63,60,59,57,56,54,53,51"
Photo Rag Baryta,"247,239,229,222,213,204,198,190,182,176,171,164,157,152,147,141,136,130,125,120,116,111,106,102,99,94,90,87,84,80,78,75,72,69,68,66"
Rice Paper,"241,234,227,220,211,204,198,190,184,176,171,166,159,154,149,144,140,134,130,125,121,117,112,109,104,101,97,94,91,88,86,84,81,79,78,76"
Torchon,"247,239,229,222,213,206,200,192,186,180,173,167,160,155,151,146,141,137,133,129,125,118,117,112,109,105,102,99,96,93,92,89,86,85,84,81"
Willian Turner,"247,236,229,222,213,204,198,192,184,178,173,166,160,155,149,144,140,134,130,125,122,117,112,109,105,101,97,95,91,88,86,84,82,80,79,78"
Baryta FB,"241,217,198,180,164,149,136,123,111,101,91,83,75,69,64,59,54,51,48,44,42,40,37,35,33,31,29,28,27,27,27,26,26,26,26,26"
Fine Art Baryta,"244,222,202,184,167,154,140,126,113,102,91,83,74,69,63,59,54,51,47,44,42,39,37,35,33,32,30,29,27,27,26,26,26,26,27,29"
Generic Photo,"241,215,190,169,151,134,120,105,94,83,75,66,58,52,49,45,42,39,37,34,33,32,29,28,27,26,27,26,27,26,27,26,26,26,26,26"
Generic Photo 1.8,"244,222,196,173,151,131,113,96,82,71,64,57,53,50,46,44,42,39,38,37,35,34,33,32,30,29,29,28,28,27,26,27,27,26,26,26,27,26,25,25"
Generic Photo 2.4,"241,224,209,190,171,155,140,125,111,97,86,77,69,63,58,54,51,48,46,44,43,41,39,38,37,36,34,33,32,32,31,31,29,28,28,28,27,26,26,27"
Generic Photo 2.2,"241,224,204,184,166,149,133,117,102,90,78,70,64,58,54,51,48,46,44,42,40,38,37,36,34,34,32,32,30,30,29,28,27,27,26,26,26,26,26,25"
Generic Photo NEW,"241,232,222,211,200,190,180,173,166,159,152,146,137,130,123,118,113,108,103,98,94,89,85,81,78,74,71,68,64,61,58,55,53,50,49,47"
